DATE,,Delt.G7
1/1/1961,0.221256983,
4/1/1961,0.224480338,0.014568376
7/1/1961,0.228038304,0.015849789
10/1/1961,0.232079336,0.017720844
1/1/1962,0.235771622,0.015909586
4/1/1962,0.238419076,0.011228893
7/1/1962,0.241187772,0.011612729
10/1/1962,0.242663727,0.006119524
1/1/1963,0.24311354,0.00185365
4/1/1963,0.249178228,0.024945907
7/1/1963,0.254479473,0.021274912
10/1/1963,0.257510156,0.011909341
1/1/1964,0.262601256,0.019770484
4/1/1964,0.265546796,0.011216778
7/1/1964,0.268457995,0.010963036
10/1/1964,0.270309407,0.006896468
1/1/1965,0.274912596,0.017029333
4/1/1965,0.278758966,0.013991247
7/1/1965,0.283402898,0.016659308
10/1/1965,0.288443117,0.017784643
1/1/1966,0.294052589,0.019447413
4/1/1966,0.296998068,0.010016842
7/1/1966,0.299836686,0.009557701
10/1/1966,0.301436622,0.005336025
1/1/1967,0.304667544,0.010718411
4/1/1967,0.306960142,0.007524918
7/1/1967,0.311037064,0.013281599
10/1/1967,0.314231389,0.010269918
1/1/1968,0.320368279,0.019529844
4/1/1968,0.323247868,0.008988371
7/1/1968,0.330127849,0.021283918
10/1/1968,0.334834505,0.01425707
1/1/1969,0.339327983,0.013419998
4/1/1969,0.343044692,0.010953147
7/1/1969,0.346644329,0.0104932
10/1/1969,0.348368951,0.004975193
1/1/1970,0.350832235,0.007070903
4/1/1970,0.3546533,0.010891432
7/1/1970,0.359557263,0.013827485
10/1/1970,0.358865049,-0.001925185
1/1/1971,0.362252138,0.009438337
4/1/1971,0.366415211,0.011492196
7/1/1971,0.370888712,0.012208831
10/1/1971,0.372447869,0.004203838
1/1/1972,0.377897977,0.014633213
4/1/1972,0.384974601,0.01872628
7/1/1972,0.389648458,0.012140691
10/1/1972,0.396377825,0.017270355
1/1/1973,0.406451651,0.025414706
4/1/1973,0.411028439,0.011260351
7/1/1973,0.41144317,0.001009007
10/1/1973,0.415546252,0.009972416
1/1/1974,0.412261185,-0.007905418
4/1/1974,0.414393851,0.005173093
7/1/1974,0.414101058,-0.000706558
10/1/1974,0.410845406,-0.007861974
1/1/1975,0.407782994,-0.007453928
4/1/1975,0.409930781,0.005266986
7/1/1975,0.414959531,0.012267314
10/1/1975,0.420522132,0.013405165
1/1/1976,0.427721287,0.017119564
4/1/1976,0.431421125,0.008650114
7/1/1976,0.434737809,0.007687809
10/1/1976,0.439015559,0.009839841
1/1/1977,0.443970469,0.011286411
4/1/1977,0.44850424,0.010211875
7/1/1977,0.452701612,0.009358599
10/1/1977,0.455755629,0.006746204
1/1/1978,0.459463227,0.008135057
4/1/1978,0.470078011,0.023102577
7/1/1978,0.474525374,0.009460905
10/1/1978,0.480450719,0.012486887
1/1/1979,0.482860921,0.005016544
4/1/1979,0.488721452,0.012137099
7/1/1979,0.491237771,0.00514878
10/1/1979,0.494004376,0.005631904
1/1/1980,0.49570991,0.003452467
4/1/1980,0.489805696,-0.011910622
7/1/1980,0.490887904,0.002209464
10/1/1980,0.496588515,0.011612856
1/1/1981,0.502527688,0.011959948
4/1/1981,0.50229302,-0.000466975
7/1/1981,0.505421822,0.006229038
10/1/1981,0.503802546,-0.003203812
1/1/1982,0.501742951,-0.004088099
4/1/1982,0.503522713,0.003547158
7/1/1982,0.502313843,-0.002400826
10/1/1982,0.503918651,0.003194832
1/1/1983,0.508557665,0.009205878
4/1/1983,0.515630837,0.013908299
7/1/1983,0.522733787,0.013775263
10/1/1983,0.530992749,0.015799557
1/1/1984,0.538489393,0.014118165
4/1/1984,0.543509535,0.009322639
7/1/1984,0.549700728,0.011391139
10/1/1984,0.553235311,0.006430014
1/1/1985,0.558871031,0.010186841
4/1/1985,0.565342022,0.011578683
7/1/1985,0.572304769,0.012315992
10/1/1985,0.577058232,0.008305825
1/1/1986,0.580534251,0.006023687
4/1/1986,0.583681051,0.005420524
7/1/1986,0.588347094,0.007994166
10/1/1986,0.592018122,0.006239562
1/1/1987,0.593242047,0.002067378
4/1/1987,0.601877652,0.01455663
7/1/1987,0.608765906,0.011444608
10/1/1987,0.618965159,0.016753982
1/1/1988,0.625003918,0.009756218
4/1/1988,0.631010598,0.009610628
7/1/1988,0.637732509,0.010652612
10/1/1988,0.64509516,0.011545046
1/1/1989,0.653220184,0.012595078
4/1/1989,0.65548225,0.003462945
7/1/1989,0.661496296,0.009174994
10/1/1989,0.667586368,0.00920651
1/1/1990,0.67331247,0.00857732
4/1/1990,0.67913058,0.008641025
7/1/1990,0.682326084,0.004705287
10/1/1990,0.679988658,-0.003425673
1/1/1991,0.682132261,0.003152411
4/1/1991,0.685632364,0.005131121
7/1/1991,0.686510212,0.001280348
10/1/1991,0.69086502,0.006343398
1/1/1992,0.696505407,0.008164239
4/1/1992,0.699719803,0.004615034
7/1/1992,0.702982205,0.004662441
10/1/1992,0.705318987,0.003324097
1/1/1993,0.706791243,0.002087362
4/1/1993,0.708367711,0.002230457
7/1/1993,0.710456489,0.002948721
10/1/1993,0.716407255,0.008375975
1/1/1994,0.723755614,0.010257237
4/1/1994,0.729320805,0.007689324
7/1/1994,0.736149823,0.009363531
10/1/1994,0.741114909,0.006744667
1/1/1995,0.744168701,0.004120538
4/1/1995,0.748579699,0.005927417
7/1/1995,0.753570057,0.006666435
10/1/1995,0.756849734,0.004352186
1/1/1996,0.760464736,0.00477638
4/1/1996,0.769366262,0.011705377
7/1/1996,0.774342139,0.006467501
10/1/1996,0.781159143,0.008803606
1/1/1997,0.786016949,0.006218716
4/1/1997,0.793674029,0.009741622
7/1/1997,0.800868507,0.009064776
10/1/1997,0.806400345,0.006907299
1/1/1998,0.809494944,0.003837547
4/1/1998,0.813424068,0.004853797
7/1/1998,0.820398423,0.00857407
10/1/1998,0.828768096,0.010201961
1/1/1999,0.833392885,0.005580317
4/1/1999,0.838669287,0.00633123
7/1/1999,0.847032021,0.009971432
10/1/1999,0.858666791,0.013735928
1/1/2000,0.865901243,0.008425214
4/1/2000,0.877035925,0.012859067
7/1/2000,0.878453414,0.001616227
10/1/2000,0.883143377,0.005338886
1/1/2001,0.885534665,0.002707701
4/1/2001,0.888041047,0.00283036
7/1/2001,0.885274947,-0.003114833
10/1/2001,0.886538722,0.001427551
1/1/2002,0.891158734,0.005211292
4/1/2002,0.89668326,0.006199261
7/1/2002,0.90104594,0.004865352
10/1/2002,0.902502891,0.001616955
1/1/2003,0.903763178,0.001396436
4/1/2003,0.91037551,0.007316444
7/1/2003,0.920502038,0.011123462
10/1/2003,0.929613283,0.009898126
1/1/2004,0.935130162,0.005934596
4/1/2004,0.94049283,0.005734676
7/1/2004,0.94563712,0.005469781
10/1/2004,0.950406405,0.005043462
1/1/2005,0.956646879,0.00656611
4/1/2005,0.963646796,0.007317138
7/1/2005,0.970675253,0.007293602
10/1/2005,0.976013005,0.005499009
1/1/2006,0.985056059,0.009265301
4/1/2006,0.990090232,0.005110545
7/1/2006,0.99204654,0.001975889
10/1/2006,1.001105203,0.009131288
1/1/2007,1.004986378,0.00387689
4/1/2007,1.011508343,0.006489606
7/1/2007,1.016932855,0.005362795
10/1/2007,1.020470746,0.003478982
1/1/2008,1.019833011,-0.000624942
4/1/2008,1.018980704,-0.000835732
7/1/2008,1.012590578,-0.006271095
10/1/2008,0.990552739,-0.02176382
1/1/2009,0.967548205,-0.023223937
4/1/2009,0.968678022,0.001167712
7/1/2009,0.971636576,0.003054218
10/1/2009,0.98096752,0.009603328
1/1/2010,0.987156862,0.006309426
4/1/2010,0.997288025,0.010262971
7/1/2010,1.004789618,0.007521992
10/1/2010,1.009314829,0.004503641
1/1/2011,1.008154576,-0.001149546
4/1/2011,1.011301691,0.00312166
7/1/2011,1.018291284,0.006911482
10/1/2011,1.024615509,0.006210625
1/1/2012,1.030917551,0.006150641
4/1/2012,1.030885076,-3.15018E-05
7/1/2012,1.034195731,0.003211469
10/1/2012,1.033122023,-0.001038206
1/1/2013,1.036580065,0.003347177
4/1/2013,1.042882255,0.006079791
7/1/2013,1.049872518,0.00670283
10/1/2013,1.054863077,0.004753491
